,Title,Budget,Movie ID,Revenue
155,Criminal: Germany,0,NaN,0
156,Criminal: Spain,0,NaN,0
157,Criminal: UK,0,NaN,0
158,Daddy Issues,0,NaN,0
159,Daddy Issues,0,501577,0
160,The Hockey Girls,0,NaN,0
161,Travel Mates 2,0,NaN,0
162,True: Tricky Treat Day,0,NaN,0
163,True: Tricky Treat Day,0,631331,0
164,Mad World,0,NaN,0
165,Mad World,0,520788,0
166,The Bund,0,NaN,0
167,The Bund,0,537795,0
168,The First Line of China,0,712609,0
169,Maynard,0,494796,68
170,Monkey Twins,0,408858,0
171,Bitcoin Heist,0,383200,0
172,I Am Not Madame Bovary,0,400114,0
173,Vincent N Roxxy,5000000,300672,0
174,Kulipari: An Army of Frogs,0,NaN,0
175,Miss Julie,0,NaN,0
176,Miss Julie,5500000,230266,5000000
177,Kabir Singh: Retiring Material,0,686340,0
178,Oceans,0,36970,19406406
179,The Endless,1000000,430231,956425
180,Transformers Rescue Bots: Rescue Family,0,710465,0
181,Jerry Before Seinfeld,0,473812,0
182,Manhunt,0,664055,0
183,"Katarzyna Piasecka, Rafał Pacześ Seriously Funny",0,NaN,0
184,"Mariusz Kałamaga, Karol Kopiec, Wiolka Walaszczyk Hilarious Trio",0,NaN,0
185,"Rafał Banaś, Michał Leja Laugh out Loud",0,NaN,0
186,The Best of Rafał Rutkowski Olka Szczęśniak,0,NaN,0
187,"The Best of Rafał Rutkowski, Olka Szczęśniak",0,529166,0
188,Come and Find Me,0,NaN,0
189,Come and Find Me,0,345918,0
190,Class Rank,0,NaN,0
191,Class Rank,0,399896,0
192,Barbie: Dolphin Magic,0,476631,0
193,Forget Me Not,1300000,27588,0
194,Feel the Beat,0,707886,0
195,Keith Richards: Under the Influence,0,NaN,0
196,Keith Richards: Under the Influence,0,360341,0
197,A Haunting at Silver Falls: The Return,0,609064,0
198,Ancient Aliens Debunked,15000,139860,0
199,Avengement,0,534490,0
200,Clive Davis: The Soundtrack of Our Lives,0,453205,0
201,Five Element Ninjas,0,41378,0
202,Sebastian Maniscalco: What's Wrong with People?,0,102517,0
203,The Witch,0,NaN,0
204,The Witch,3500000,310131,40423945
205,I Am Wrath,0,NaN,0
206,I Am Wrath,18000000,332411,0
207,"As Above, So Below",5000000,256274,40100000
208,Scott Pilgrim vs. the World,60000000,22538,47664559
209,ARQ,2000000,410199,0
210,Cedric the Entertainer: Live from the Ville,0,416290,0
211,Louis C.K.: Hilarious,0,45523,0
212,Raiders!: The Story of the Greatest Fan Film Ever Made,0,329697,0
213,The White Helmets,0,416211,0
214,Bakugan: Battle Planet,0,NaN,0
215,Cold Case Files,0,NaN,0
216,Los Tigres del Norte at Folsom Prison,0,NaN,0
217,Los Tigres del Norte at Folsom Prison,0,630750,0
218,Steal a Pencil for Me,0,NaN,0
219,Steal a Pencil for Me,0,80523,0
220,Kelly Talk,0,584645,0
221,The Outsider,0,NaN,0
222,The Outsider,4000000,241765,0
223,The Universe,0,NaN,0
224,Phineas and Ferb The Movie: Candace Against the Universe,0,594328,0
225,Arisan 2,0,NaN,0
226,The Gathering 2,0,286239,0
227,Cardboard Gangsters,0,NaN,0
228,Cardboard Gangsters,0,462445,0
229,Eeda,0,496321,126500
230,Galih & Ratna,0,446156,0
231,Gie,0,39061,0
232,Goli Soda 2,0,507574,0
233,Inside The Freemasons,0,NaN,0
234,Inside The Freemasons: The Grand Lodge Uncovered,0,61421,0
235,Jugaad,0,15646,0
236,Maj Rati Keteki,0,564862,0
237,Mayurakshi,0,500787,0
238,Red Oleanders Raktokarobi,0,507860,0
239,Samantaral,0,549450,0
240,Kingsman: The Secret Service,81000000,207703,414351546
241,First They Killed My Father,24000000,433247,0
242,Gagarin: First in Space,7000000,199327,0
243,Janaan,1500000,416238,3000000
244,Larceny,0,445962,0
245,WWE Royal Rumble 2020,0,659444,0
246,Strong Island,0,428612,0
247,The Hobbit: The Battle of the Five Armies,250000000,122917,956019788
248,Natural Born Pranksters,0,383524,0
249,SampleThis,0,217129,0
250,Cowspiracy: The Sustainability Secret,0,NaN,0
251,Cowspiracy: The Sustainability Secret,117,282297,0
252,"Oh, Baby",0,409438,0
253,The Crystal Calls - Making The Dark Crystal: Age of Resistance,0,627133,0
254,We Have Always Lived in the Castle,0,411144,0
255,Bangkok Hell: Nor Chor - The Prisoners,0,72283,0
256,Behind-the-Scenes: Newsroom,0,261065,0
257,Bleach,3598902,420426,4001919
258,Boca Juniors Confidential,0,547628,0
259,Norm Macdonald Has a Show,0,NaN,0
260,Still,0,NaN,0
261,I Still Believe,0,585244,0
262,The Angel,0,NaN,0
263,The Angel Tree,0,746466,0
264,The Land of Steady Habits,0,452731,0
265,American Warfighter,0,NaN,0
266,Warfighter,0,486606,0
267,Deviant Love,0,631021,0
268,Head Count,0,549935,0
269,"Hello, Privilege. It's Me, Chelsea",0,628039,0
270,Kabaneri of the Iron Fortress: The Battle of Unato,0,567006,0
271,Hedefim Sensin,0,566067,0
272,Marianne & Leonard: Words of Love,0,566230,0
273,Monarca,0,250774,0
274,Shanghai Fortress,30000000,559957,0
275,Tall Girl,0,625450,0
276,Time Trap,0,455839,0
277,Unbelievable,0,NaN,0
278,Unbelievable!!!!!,2500000,329621,0
279,Reversing Roe,0,545634,0
280,Ghost of the Mountains,0,481447,0
281,Extremis,0,393443,0
282,"The Mind, Explained",0,NaN,0
283,Turbo,0,NaN,0
284,Turbo,135000000,77950,282570682
285,Lamp Life,0,594530,0
286,On My Skin,0,538362,0
287,Heroin(e),0,475345,0
288,Jeff Dunham: Relative Disaster,0,473277,0
289,If I were an Animal,0,NaN,0
290,We're No Animals,0,289561,0
291,The Resistance Banker,0,497916,0
292,The Forgotten,42000000,10145,117592831
293,Bill Burr: Paper Tiger,0,625128,0
294,Eat Pray Love,60000000,38167,204594016
295,Evelyn,0,545556,0
296,Our Godfather,0,598065,0
297,"My Teacher, My Obsession",0,NaN,0
298,"My Teacher, My Obsession",0,530442,0
299,68 Kill,0,367462,0
300,American Psycho,7000000,1359,34266564
301,Dante's Peak,116000000,9619,178127760
302,Elena Undone,0,56743,0
303,First Kill,10000000,410554,0
304,For the Birds,0,13930,0
305,Igor,25000000,14248,30700000
306,Just Friends,0,10033,50817508
307,Mokalik (Mechanic),0,NaN,0
308,Mokalik (Mechanic),0,627796,0
309,Mr. Woodcock,22000000,13257,0
310,My Sister's Keeper,30000000,10024,95714875
311,Mystic River,25000000,322,156822020
312,Olmo & the Seagull,0,NaN,0
313,Olmo and the Seagull,0,304030,0
314,Open Season,85000000,7484,197309027
315,Phone Swap,0,140033,0
316,Poseidon,160000000,503,181674817
317,Rachel Getting Married,0,14976,0
318,Spookley the Square Pumpkin,0,NaN,0
319,Spookley the Square Pumpkin,0,54408,0
320,Stripes,10000000,10890,85300000
321,Superbad,20000000,8363,121463226
322,The Bridge,25000,1666,179780
323,The CEO,0,629005,0
324,The Lake House,40000000,2044,114830111
325,The Last Exorcism,1800000,38358,67738090
326,The Saint,0,463906,0
327,The Taking of Pelham 1 2 3,100000000,18487,150166126
328,Transformers: Cyberverse,0,NaN,0
329,Uncle Naji in UAE,0,NaN,0
330,Uncle Naji in UAE,0,668632,0
331,Used Goods,0,567208,0
332,You Don't Mess with the Zohan,90000000,10661,201596308
333,The Age of Blood,0,488372,0
334,Barça Dreams,0,362256,0
335,Brick,475000,9270,3919254
336,Carbon Copy,6000000,53922,9566593
337,Delirium,0,340601,0
338,Human Garbage,0,737282,0
339,Hope Aur Hum,0,527725,0
340,Kuchh Bheege Alfaaz,0,527851,0
341,Love and Shukla,0,486471,0
342,Murder Party,190000,13561,0
343,Ghayal Once Again,0,381298,0
344,Pee Mak Phrakanong,0,184219,0
345,Sisters,30000000,266294,105011053
346,Sólo con tu pareja,0,49971,0
347,Sparring,0,467548,0
348,Stephanie,0,333357,0
349,Terrifier,100000,420634,0
350,The Keeping Hours,0,364220,0
351,The Perfect Day,0,563801,0
352,The Promise,0,354859,0
353,The River Wild,45000000,8987,94216343
354,최강전사 미니특공대 : 영웅의 탄생,0,NaN,0
355,Miniforce: New Heroes Rise,0,405458,0
356,A House of Blocks,0,NaN,0
357,Aakhri Adaalat,0,NaN,0
358,Aakhri Adaalat,0,474084,0
359,"Alias JJ, The Celebrity of Evil",0,528647,0
360,It's All About Love,0,12777,0
361,Berserk: The Golden Age Arc II - The Battle for Doldrey,0,118412,0
362,Berserk: The Golden Age Arc III - The Advent,0,144288,0
363,Brother's Shadow,0,385923,0
364,Chadi Jawani Budhe Nu,0,507303,0
365,Concrete Football,0,474070,0
366,Ek Jaan Hain Hum,0,529630,0
367,Gurren Lagann,0,NaN,0
368,Gurren Lagann The Movie: Childhood's End,0,20986,0
369,High Risk,0,47201,0
370,Incorruptible,0,339143,0
371,Inuyasha the Movie 4: Fire on the Mystic Island,0,34297,0
372,Inuyasha the Movie 3: Swords of an Honorable Ruler,0,34295,0
373,Inuyasha the Movie 2: The Castle Beyond the Looking Glass,0,22537,0
374,Khoon Khoon,0,464441,0
375,Little Evil,0,NaN,0
376,Little Evil,0,346671,0
377,Lorai: Play to Live,0,564121,0
378,Maniac,6000000,103620,31081
379,Manoranjan,0,107800,0
380,Mujrim,0,566319,0
381,Naruto Shippuden the Movie: Blood Prison,0,75624,0
382,Naruto Shippuden the Movie: The Will of Fire,0,36728,8084148
383,Naruto Shippuden the Movie: The Lost Tower,0,50723,0
384,Naruto the Movie: Legend of the Stone of Gelel,0,16910,0
385,Naruto the Movie: Guardians of the Crescent Moon Kingdom,25000000,18861,0
386,Naruto the Movie: Ninja Clash in the Land of Snow,0,16907,0
387,Offline: Are You Ready for the Next Level?,0,442133,0
388,Resurface,0,473545,0
389,Rocco,0,416148,0
390,She's Gotta Have It,175000,27995,7137503
391,Sohni Mahiwal,0,216969,0
392,The Distinguished Citizen,0,408537,0
393,The Drowning,0,420260,0
394,The Guardian Brothers,10000000,366644,0
395,The Last Shaman,0,451474,0
396,The Lost Brother,0,447904,0
397,Todo Sobre El Asado,0,NaN,0
398,All About Asado,0,456705,0
399,Who the Fuck is That Guy?: The Fabulous Journey of Michael Alago,0,348529,0
400,A Noble Intention,0,366885,0
401,Bon Bini Holland,0,366887,5500000
402,Echelon Conspiracy,0,16325,2186782
403,Dukhtar,0,NaN,0
404,Dukhtar,46000,287594,120000
405,Figaro Pho,0,NaN,0
406,The Adventures of Figaro Pho,0,464127,0
407,Full Out,1500000,298582,0
408,Holy Hell,0,NaN,0
409,Holy Hell,0,373472,16905
410,Lucky Days,0,296814,0
411,Off Course,500,671555,0
412,Saudi Arabia Uncovered,0,452446,0
413,The Fierce Wife,0,NaN,0
414,The Fierce Wife Final Episode,0,153154,5000000
415,"The Demonic Womanizer Costante Nicosia, or: Dracula in Brianza",0,107122,0
416,We Need to Talk,0,NaN,0
417,We Need to Talk About Kevin,7000000,71859,10765283
418,Witch Hunt: A Century of Murder,0,495237,0
419,Iliza Shlesinger: War Paint,0,220153,0
420,After,14000000,537915,69497587
421,No Place Like Home,0,635554,0
422,Garuda Di Dadaku,0,NaN,0
423,Garuda Di Dadaku,0,141507,0
424,Mo Amer: The Vagabond,0,550294,0
425,Letters from Prague,0,397859,0
426,Winter on Fire: Ukraine's Fight for Freedom,0,355020,0
427,Deon Cole: Cole Hearted,0,638072,0
428,The Spooky Tale of Captain Underpants Hack-a-ween,0,637395,0
429,Pulang,24000000,538528,0
430,The Water Diviner,22500000,256917,15520023
431,Chris Brown: Welcome to My Life,0,456508,0
432,Friday the 13th,550000,4488,59754601
433,Russell Peters: Almost Famous,0,417026,0
434,The Siege of Jadotville,0,NaN,0
435,The Siege of Jadotville,0,334517,0
436,Love for Sale,1000000,37715,0
437,Jackpot,0,78479,0
438,Seven in Heaven,0,500535,0
439,Kung Fu Yoga,0,NaN,0
440,Kung Fu Yoga,65000000,383785,254212245
441,The Death and Life of Marsha P. Johnson,0,448444,0
442,My Country: The New Age,0,NaN,0
443,Noblemen,0,NaN,0
444,Noblemen,0,525235,0
445,Lights from the East: I Am Maluku,0,278322,0
446,ABBA: Dancing Queen,0,275861,0
447,Empire Games,0,NaN,0
448,LOST SONG,0,NaN,0
449,Lost Song,0,149138,0
450,Malevolent,0,481375,0
451,Private Life,0,458342,0
452,Super Monsters Save Halloween,0,552752,0
453,A Plastic Ocean,0,NaN,0
454,A Plastic Ocean,0,431339,0
455,Aykut Enişte,0,606413,0
456,In the Tall Grass,0,523139,0
457,New Kids on the Block: Coming Home,0,134378,0
458,Super Monsters: Vida's First Halloween,0,NaN,0
459,Super Monsters: Vida's First Halloween,0,636561,0
460,Compulsion,0,368182,0
461,The Dreamer of Oz,0,110920,0
462,The Haunting of Molly Hartley,0,14745,15
463,LEGO Jurassic World: The Indominus Escape,0,NaN,0
464,LEGO Jurassic World: The Indominus Escape,0,419566,0
465,Grego Rossello: disculpe las molestias,0,667282,0
466,Nowhere Man,250000,28149,0
467,Gun City,0,NaN,0
468,Gun City,0,529210,0
469,Heneral Luna,0,359105,0
470,Judah Friedlander: America Is the Greatest Country in the United States,0,484413,0
471,The B-Side: Elsa Dorfman's Portrait Photography,0,411011,0
472,Kristy,0,NaN,0
473,Kristy,6900000,146229,0
474,Mehandi Circus,0,NaN,0
475,Mehandi Circus,0,595490,0
476,Tunnel,0,NaN,0
477,The Tunnel,135000,46221,0
478,My Brother... Nikhil,0,137303,0
479,Shorgul,0,403789,0
480,Siddhant,0,541225,0
481,The Degenerates,0,440698,0
482,The Jungle School,0,504229,0
483,SPF-18,0,472838,0
484,Forks Over Knives,0,64288,664747
485,Benji's Very Own Christmas Story,0,NaN,0
486,Benji's Very Own Christmas Story,0,44418,0
487,The Black Prince,0,313755,0
488,Truth or Dare,3500000,460019,95330493
489,Cult of Chucky,0,393345,0
490,Rodney Carrington: Here Comes The Truth,0,478548,0
491,Security,15000000,460846,0
492,Arsenio Hall: Smart and Classy,0,642661,0
493,The Road to El Camino: Behind the Scenes of El Camino: A Breaking Bad Movie,0,NaN,0
494,The Road to El Camino: Behind the Scenes of El Camino: A Breaking Bad Movie,0,683021,0
495,Exodus: Gods and Kings,140000000,147441,268031828
496,Pup Star: World Tour,0,522619,0
497,A 3 Minute Hug,0,617331,0
498,Little Miss Sumo,0,587385,0
499,Equals,16000000,301875,2084628
500,Pup Star: Better 2Gether,0,469922,0
501,I Am the Pretty Thing That Lives in the House,0,407559,0
502,Into the Inferno,0,360029,0
503,The African Doctor,0,393764,0
504,Trailer Park Boys: Out of the Park: Europe,0,NaN,0
505,West Coast,0,NaN,0
506,West Coast,0,393712,0
507,14 Cameras,0,NaN,0
508,14 Cameras,0,534235,0
509,Dragon Tiger Gate,0,15860,8685526
510,Joan Didion: The Center Will Not Hold,0,NaN,0
511,Joan Didion: The Center Will Not Hold,0,473408,0
512,7 años,0,423093,0
513,Manson Family Vacation,0,323679,0
514,The Last Whistle,0,NaN,0
515,The Last Whistle,0,552871,0
516,Been So Long,0,462469,0
517,Dovlatov,0,493655,0
518,Incoming,0,522964,0
519,Jefe,0,517298,0
520,Santo cachón,0,556802,0
521,Shirkers,0,489994,0
522,W/O Ram,0,NaN,0
523,W/O Ram,0,536771,0
524,Strange Weather,0,364223,0
525,A Tale of Love and Darkness,4000000,336029,572212
526,Assimilate,0,528985,0
527,Brotherhood,0,402334,0
528,"Truth or Consequences, N.M.",0,31017,54200
529,Dolemite Is My Name,0,528888,0
530,It Takes a Lunatic,0,NaN,0
531,It Takes a Lunatic,0,636709,0
532,My Next Guest with David Letterman and Shah Rukh Khan,0,NaN,0
533,Nailed It! France,0,NaN,0
534,Nailed It! Spain,0,NaN,0
535,Prank Encounters,0,NaN,0
536,Rattlesnake,0,NaN,0
537,Rattlesnake,0,560362,0
538,The Awakening of Motti Wolkenbruch,0,486225,0
539,The Untamed Breed,0,371283,0
540,Dreamworks Spooky Stories,0,260720,0
541,Ronnie Coleman: The King,0,NaN,0
542,Ronnie Coleman: The King,0,532944,0
543,Meet the Trumps: From Immigrant to President,0,435738,0
544,The Hateful Eight,44000000,273248,155760117
545,Walt Disney Animation Studios Short Films Collection,0,348666,0
546,Daybreak,0,203076,0
547,Echo in the Canyon,0,549551,0
548,Revenge of the Pontianak,0,621681,0
549,Bodyguard,0,NaN,0
550,The Hitman's Bodyguard,30000000,390043,176586701
551,Jack Whitehall: At Large,0,479269,0
552,The Mist,18000000,5876,57096190
553,E-Team,0,250653,0
554,American Heist,0,NaN,0
555,American Heist,10000000,250066,0
556,Breakfast Lunch Dinner,0,234938,0
557,Dancing with the Birds,0,634541,0
558,Master Z: Ip Man Legacy,0,450001,21832649
559,Adam Sandler: 100% Fresh,0,517596,0
560,Here Is My Heart,0,169355,0
561,While We're Young,0,NaN,0
562,While We're Young,10000000,252512,17287309
563,The Hunter's Prayer,17000000,302150,0
564,I'll See You in My Dreams,0,310121,7449681
565,Jenny Slate: Stage Fright,0,637627,0
566,The Texas Chainsaw Massacre,9500000,9373,107071655
567,Tracers,11000000,290764,593683
568,Yomeddine,0,517286,0
569,God Knows Where I Am,0,392955,0
570,Aashayein,0,44070,0
571,Bhool Bhulaiyaa,0,19025,0
572,Humko Deewana Kar Gaye,0,48569,0
573,Kajraare,0,117337,0
574,Karzzzz,0,55376,0
575,Patiala House,0,53299,0
576,Ready Player One,175000000,333339,582890172
577,Results,0,294132,104507
578,Free Fire,7000000,334521,3719383
579,The Rainbow Troops,0,22421,0
580,Jakob the Liar,45000000,2290,4956701
581,Containment,0,347548,0
582,Joe Rogan: Triggered,0,421854,0
583,Wyatt Cenac: Brooklyn,0,298522,0
584,How to Get Over a Breakup,0,527246,0
585,The Gospel of John,10000000,30973,4078741
586,1922,0,452507,0
587,Miss Representation,750000,77801,0
588,One of Us,0,474569,0
589,Wheelman,0,NaN,0
590,Wheelman,0,471014,0
591,The Shepherd: Border Patrol,0,24411,0
592,Bringing Sexy Back,0,NaN,0
593,Court Justice,0,NaN,0
594,Diva Brides,0,NaN,0
595,Ghost Town Gold,0,NaN,0
596,Ghost-Town Gold,0,165655,0
597,Kitten Rescuers,0,NaN,0
598,License to Drill: Louisiana,0,NaN,0
599,Living Undocumented,0,NaN,0
600,Ready to Mingle,0,NaN,0
601,Ready to Mingle,0,532880,0
602,Salam - The First ****** Nobel Laureate,0,552404,0
603,Death Race: Beyond Anarchy,0,401478,0
604,Joe Rogan: Strange Times,0,NaN,0
605,Joe Rogan: Strange Times,0,550248,0
606,Monty Python Conquers America,0,NaN,0
607,Monty Python Conquers America,0,528530,0
608,Monty Python Live (Mostly),0,282268,0
609,Monty Python: Live at Aspen,0,NaN,0
610,Monty Python: Live at Aspen,0,84067,0
611,Monty Python Live at the Hollywood Bowl,0,11949,0
612,Monty Python: The Meaning of Live,0,328037,0
613,Monty Python's Fliegender Zirkus,0,NaN,0
614,Monty Python's Fliegender Zirkus,0,46740,0
615,Life of Brian,4000000,583,20045115
616,Parrot Sketch Not Included: Twenty Years of Monty Python,0,NaN,0
617,The Meaning of Monty Python,0,NaN,0
618,The Meaning of Monty Python,0,489796,0
619,Sleeping with Other People,0,288036,3214116
620,Anjelah Johnson: Not Fancy,0,362988,0
621,Little Singham: Kaal Ki Tabaahi,0,641816,0
622,Men in Black: International,110000000,479455,252608480
623,Moms at War,0,572210,0
624,The Command,0,108345,0
625,Accidentally in Love,0,76947,0
626,Best.Worst.Weekend.Ever.,0,NaN,0
627,"Club de Cuervos Presents: I, Potro",0,NaN,0
628,Derren Brown: Sacrifice,0,NaN,0
629,Derren Brown: Sacrifice,0,554175,0
630,Gnome Alone,0,466876,0
631,Illang: The Wolf Brigade,16723043,467824,0
632,Oddbods: Party Monsters,0,NaN,0
633,Oddbods: Party Monsters,0,567785,0
634,Anna's Storm,0,52724,0
635,The Gospel of Luke,0,506157,0
636,The Gospel of Mark,0,444681,0
637,The Gospel of Matthew,0,505688,0
638,The Night Comes for Us,0,449992,0
639,Wanderlust,35000000,50647,24159934
640,Wedding Unplanned,0,438347,0
641,10 Days In Sun City,0,471872,0
642,93 Days,0,412188,0
643,Eli,0,483202,0
644,In My Country,0,640390,0
645,Living with Yourself,0,NaN,0
646,"Love, Surreal and Odd",0,NaN,0
647,"Love, Surreal and Odd",0,447447,0
648,MONKART,0,NaN,0
649,New Money,0,NaN,0
650,New Money,0,603545,0
651,Try Seventeen,0,14874,0
652,Jeca Tatu,0,120753,0
653,Tell Me Who I Am,0,627070,0
654,The Laundromat,0,517909,0
655,PROBE: Unnatural Selection,0,336238,0
656,Up North,0,590425,0
657,Upstarts,0,639411,0
658,Verses of Love 2,0,482278,0
659,Mr. Chandramouli,0,498366,0
660,Márama - Rombai: The Journey,0,529674,0
661,The Karate Kid,8000000,1885,91077276
662,The Insects Unlisted in the Encyclopedia,0,37995,0
663,My Babysitter's a Vampire,0,63700,0
664,Patton Oswalt: Annihilation,0,479263,0
665,Ghosts of Sugar Land,0,NaN,0
666,Ghosts of Sugar Land,0,586245,0
667,League of Legends Origins,0,639834,0
668,Park Na-rae: Glamour Warning,0,604343,0
669,Sinister 2,0,NaN,0
670,Sinister 2,10000000,283445,52882018
671,The Game Changers,0,463088,0
672,"Ron White: If You Quit Listening, I'll Shut Up",0,550302,0
673,Baadshaho,12300000,441894,27000000
674,Closed Circuit,0,146223,5750401
675,In Laws,0,NaN,0
676,The In-Laws,0,5146,20440627
677,The Woman Next Door,0,12579,0
678,Laws of Attraction,28000000,11141,30016165
